yearID,teamID,name,W,L,world_series_winner,win_pct,run_diff_per_game,runs_per_game,ops,home_runs_per_game,stolen_bases_per_game,era,whip
2010,TBA,Tampa Bay Rays,96,66,0,0.5925925925925926,0.9444444444444444,4.950617283950617,0.7358666657806072,0.9876543209876543,1.0617283950617284,3.78,1.2554459986241686
2010,NYA,New York Yankees,95,67,0,0.5864197530864198,1.0246913580246915,5.302469135802469,0.7857885809125418,1.2407407407407407,0.6358024691358025,4.06,1.3096833834065174
2010,MIN,Minnesota Twins,94,68,0,0.5802469135802469,0.6790123456790124,4.820987654320987,0.7622458255013834,0.8765432098765432,0.41975308641975306,3.95,1.291418081688848
2010,SFN,San Francisco Giants,92,70,1,0.5679012345679012,0.7037037037037037,4.302469135802469,0.729479671619955,1.0,0.3395061728395062,3.36,1.271047227926078
2010,ATL,Atlanta Braves,91,71,0,0.5617283950617284,0.6728395061728395,4.555555555555555,0.7398726539608391,0.8580246913580247,0.3888888888888889,3.56,1.2721167207040298
2010,CIN,Cincinnati Reds,91,71,0,0.5617283950617284,0.6481481481481481,4.8765432098765435,0.7743992709665357,1.1604938271604939,0.5740740740740741,4.01,1.3269098417068135
2010,TEX,Texas Rangers,90,72,0,0.5555555555555556,0.6172839506172839,4.8580246913580245,0.7570015551038879,1.0,0.7592592592592593,3.93,1.309665597801191
2011,PHI,Philadelphia Phillies,102,60,0,0.6296296296296297,1.1358024691358024,4.401234567901234,0.7172958062885761,0.9444444444444444,0.5925925925925926,3.02,1.167230873392011
2011,NYA,New York Yankees,97,65,0,0.5987654320987654,1.2962962962962963,5.351851851851852,0.7875638551054892,1.3703703703703705,0.9074074074074074,3.73,1.3234285714285714
2011,MIL,Milwaukee Brewers,96,66,0,0.5925925925925926,0.5123456790123457,4.450617283950617,0.7499880004322281,1.1419753086419753,0.5802469135802469,3.63,1.2402312138728322
2011,TEX,Texas Rangers,96,66,0,0.5925925925925926,1.0987654320987654,5.277777777777778,0.7995766749829837,1.2962962962962963,0.8827160493827161,3.79,1.240518038852914
2011,DET,Detroit Tigers,95,67,0,0.5864197530864198,0.4691358024691358,4.8580246913580245,0.7733298535115833,1.0432098765432098,0.30246913580246915,4.04,1.3180555555555555
2011,ARI,Arizona Diamondbacks,94,68,0,0.5802469135802469,0.42592592592592593,4.512345679012346,0.7355697873823897,1.0617283950617284,0.8209876543209876,3.8,1.2859122401847576
2011,TBA,Tampa Bay Rays,91,71,0,0.5617283950617284,0.5740740740740741,4.364197530864198,0.7241494425281443,1.0617283950617284,0.9567901234567902,3.58,1.2194616977225672
2011,SLN,St. Louis Cardinals,90,72,1,0.5555555555555556,0.43209876543209874,4.703703703703703,0.7658393445956879,1.0,0.35185185185185186,3.74,1.3057455540355678
2012,WAS,Washington Nationals,98,64,0,0.6049382716049383,0.845679012345679,4.512345679012346,0.7497566317505271,1.1975308641975309,0.6481481481481481,3.33,1.2211123723041999
2012,CIN,Cincinnati Reds,97,65,0,0.5987654320987654,0.5,4.12962962962963,0.7259192046037424,1.0617283950617284,0.5370370370370371,3.34,1.227116311080523
2012,NYA,New York Yankees,95,67,0,0.5864197530864198,0.8395061728395061,4.962962962962963,0.7900491696059424,1.5123456790123457,0.5740740740740741,3.84,1.2675276752767528
2012,ATL,Atlanta Braves,94,68,0,0.5802469135802469,0.6172839506172839,4.320987654320987,0.7089531459657687,0.9197530864197531,0.6234567901234568,3.42,1.2273985239852399
